dma_name,dma_id,term,week,score,rank,refresh_date
Charlotte NC,517,Ariana Grande,4/19/2020,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/26/2020,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/10/2020,18,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/24/2020,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/7/2020,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/14/2020,14,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/12/2020,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/26/2020,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,8/23/2020,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/6/2020,15,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/27/2020,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/4/2020,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/18/2020,28,13,9/14/2023
Charlotte NC,517,Ariana Grande,11/15/2020,26,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/27/2020,28,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/10/2021,22,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/17/2021,20,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/7/2021,28,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/21/2021,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/21/2021,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/28/2021,27,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/4/2021,23,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/11/2021,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/18/2021,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/2/2021,20,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/9/2021,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/16/2021,51,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/30/2021,29,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/13/2021,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/27/2021,20,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/4/2021,18,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/11/2021,20,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/25/2021,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,8/1/2021,34,13,9/14/2023
Charlotte NC,517,Ariana Grande,8/15/2021,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,8/29/2021,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/12/2021,27,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/19/2021,34,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/26/2021,31,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/10/2021,31,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/12/2021,35,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/19/2021,32,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/2/2022,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/9/2022,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/23/2022,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/30/2022,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/27/2022,13,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/6/2022,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/13/2022,11,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/20/2022,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/27/2022,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/10/2022,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/15/2022,16,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/22/2022,18,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/29/2022,13,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/5/2022,18,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/12/2022,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/3/2022,18,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/10/2022,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/24/2022,16,13,9/14/2023
Charlotte NC,517,Ariana Grande,8/7/2022,15,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/4/2022,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/25/2022,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/2/2022,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/9/2022,10,13,9/14/2023
Charlotte NC,517,Ariana Grande,11/13/2022,11,13,9/14/2023
Charlotte NC,517,Ariana Grande,11/20/2022,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/4/2022,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/18/2022,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/25/2022,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/8/2023,14,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/15/2023,16,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/22/2023,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/5/2023,14,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/12/2023,15,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/26/2023,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/12/2023,11,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/19/2023,12,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/2/2023,15,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/16/2023,22,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/23/2023,13,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/14/2023,15,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/11/2023,10,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/2/2023,9,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/9/2023,8,13,9/14/2023
Charlotte NC,517,Ariana Grande,8/27/2023,14,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/3/2023,15,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/10/2023,12,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,9/30/2018,33,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/21/2018,62,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,11/11/2018,70,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,11/18/2018,55,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,12/9/2018,52,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,12/23/2018,47,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,12/30/2018,35,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,1/13/2019,33,13,9/14/2023
